latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,
-6.5729346,106.775826,247,25200,Asia/Bangkok,GMT+7,,,,,
,,,,,,,,,,
time,temperature_2m_mean (°C),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),wind_speed_10m_max (km/h),surface_pressure_mean (hPa),precipitation_hours (h),soil_temperature_0_to_7cm_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),sunshine_duration (s)
1/1/2023,24.1,21.5,14.23,11.8,983.8,16,24.7,27.9,21.4,25758.18
1/2/2023,24.3,21.8,17.5,14,983.6,10,25.4,28.3,21.5,39178.52
1/3/2023,23.8,21.8,8.99,13.1,983.4,12,24.6,25.6,21.6,3588.63
1/4/2023,24.5,21.8,16.94,16,982.9,16,25.2,28.5,21.5,32140.02
1/5/2023,25.1,21.1,21.07,15.8,983.1,10,26.1,28.9,21.6,37701.86
1/6/2023,26.3,21,22.85,16.9,982.6,6,27.1,30.6,23.5,38481.74
1/7/2023,26,21.6,19.03,14,981.5,8,27,30,23.2,41163.21
1/8/2023,25.4,21.7,15.9,14.4,982.6,6,26.5,29,22.6,28576.78
1/9/2023,25.7,21.9,18.45,12.9,983.5,7,26.8,29,22.2,26748.39
1/10/2023,25.8,21.8,17.39,17.3,983.4,6,26.7,30.2,22.9,26340.09
1/11/2023,26.6,21.2,24.26,15.5,982.7,5,27.4,31.8,22.1,41244.55
1/12/2023,26.4,21.6,22.6,13.4,982.5,1,27.6,30.4,22.8,42305.45
1/13/2023,25.1,21.7,18.05,10.4,982.7,10,26.7,29.8,22.1,38315.69
1/14/2023,26.7,20.9,24.07,17.6,981.5,3,27.1,31.3,22.6,38891.21
1/15/2023,26.9,21.2,23.01,16.6,980.6,3,27.8,30.6,23.5,39903.47
1/16/2023,25.9,21.8,18.76,12.4,981.2,4,27.2,29.5,23,34007.01
1/17/2023,24.8,22,14.59,10.8,983,13,26.2,27.8,22.4,23251.9
1/18/2023,24,22,12.07,9.4,983,10,25,28.3,21.6,18449.1
1/19/2023,24,22.4,13.72,8.8,982.8,12,25.2,27.2,21.9,14057.42
1/20/2023,24.8,21.8,16.61,14.8,982,11,25.4,27.9,21.2,28507.92
1/21/2023,24.8,21.5,17.04,14.2,981,7,25.6,29.4,21.5,22842.99
1/22/2023,25.3,21.9,16.5,14.4,980,10,25.7,29,22.6,26165.77
1/23/2023,24.8,22,12.1,12.8,979.6,11,25.5,27.6,22.5,13329.71
1/24/2023,24.9,21.9,16.63,13.3,979.5,11,25.5,28.6,21.5,38043.73
1/25/2023,23.7,22.2,10.41,14.4,980.2,15,24.7,26.2,21.9,10564.5
1/26/2023,25.2,21.4,14.46,13.3,980.6,4,25.3,29.3,22.5,20941.41
1/27/2023,24.5,21.8,12.89,8.7,980.1,12,25.6,27.5,22.5,16738.3
1/28/2023,23.7,21.7,9.48,8.9,979.6,14,24.5,26.6,21.5,5072.35
1/29/2023,24.2,21.8,12.69,10.1,980.5,22,24.8,27.5,22,18071.47
1/30/2023,24.5,22.2,12.75,8.2,981.7,14,25.1,27.3,22.6,12246.5
1/31/2023,25.2,22.1,15.87,11.7,980.8,7,25.8,28.8,21.9,26870.96
2/1/2023,24.3,21.9,10.29,7.3,980.7,17,25,27,22.6,9347.89
2/2/2023,24.1,22.1,9.93,9.2,981.3,22,24.8,26.1,22.2,15164.53
2/3/2023,24.6,20.8,12.95,9.7,980.8,5,24.7,28.2,21.9,11592.89
2/4/2023,24.9,20.7,17.01,14.5,980,5,25.4,29.1,21.8,28091.56
2/5/2023,25.2,19.9,19.77,15.9,980.1,5,25.8,29.3,20.4,34392.03
2/6/2023,25.8,21.1,19.05,16.4,980.4,6,26.5,30.2,22.8,21673.55
2/7/2023,24.6,22,13.81,9.8,981,18,25.8,28.9,22.4,20017.69
2/8/2023,25.4,21.2,20.67,16.8,981.1,2,25.9,29.7,22,32400
2/9/2023,24.9,21.4,14.73,17.1,981.2,13,25.6,28.5,21.9,22146
2/10/2023,24.7,22,16.57,20.3,980.4,18,25,28.5,22.3,28216.75
2/11/2023,23.9,22.1,11.38,9.3,981.4,19,24.7,26.9,22.4,11847.54
2/12/2023,23.6,21.8,6.34,9.2,983,21,23.9,26.1,22.1,0
2/13/2023,25.1,21.9,18.37,15.6,982.3,17,25.2,30.1,22,28896.26
2/14/2023,24.2,22,6.81,10.4,981.5,18,24.5,26.2,22.5,0
2/15/2023,24.9,21.7,13.38,12.6,981.2,11,25.1,28.8,22.7,23893.71
2/16/2023,24.3,22,12.71,13,981.9,13,24.7,27.6,21.7,19595.12
2/17/2023,24,22.1,12.61,11,982.1,13,24.7,27.6,22,17264.25
2/18/2023,24.4,22,15.22,7.9,982.1,11,25,27.8,21.4,23735.62
2/19/2023,24.4,22,16,14.8,982.5,10,24.9,28,20.7,28602.92
2/20/2023,25.2,21.8,16.26,13.2,981.9,8,25.5,28.5,23.1,30290.11
2/21/2023,24.3,22.1,15.05,13.3,982.6,11,25.3,27.5,21.5,28208.92
2/22/2023,23.8,22,9.91,11.5,982.6,17,24.6,27.1,21.5,8756.93
2/23/2023,23.9,21.9,11.94,11.8,981.6,21,24.7,27.4,21.9,13687.02
2/24/2023,23.6,21.9,9.71,11.7,982.4,24,24.2,27,21.4,7956.18
2/25/2023,24.3,22.2,12.56,8,983.8,18,24.7,27.6,22.1,11004.21
2/26/2023,23.9,21.8,15.06,14,984,18,24.7,27,21.6,24393.51
2/27/2023,23.7,21.5,7.19,12,984.2,20,24,25.5,22.2,0
2/28/2023,23.8,21.8,10.84,11.4,984.2,21,24.3,27.1,21.7,10740.26
3/1/2023,24.3,21.8,14.72,16,983.6,16,24.5,27.2,21.6,28108.31
3/2/2023,23.4,21.8,4.66,8.3,984.2,24,23.7,25,21.5,0
3/3/2023,25,21.4,21.12,12.2,984.8,10,25,29.8,21.6,36166.84
3/4/2023,24.3,21.7,15.38,12.8,985.6,10,25.2,27.1,21.6,29108.45
3/5/2023,25.1,21.6,17.36,15.9,985,6,25.5,28.1,21.9,35095.21
3/6/2023,25.5,21.3,17.06,13.7,984.1,5,25.9,28.8,22.5,21404.21
3/7/2023,25,21.6,23.78,9.9,983.7,8,26.2,29.5,21.4,40942.66
3/8/2023,24.2,22.5,20.73,9.1,984.5,9,25.8,27.5,21.5,35359.43
3/9/2023,24.4,22.1,18.78,8.9,983.6,7,25.8,28.5,20.9,38536.34
3/10/2023,24.6,22.2,18.94,14,982.9,9,25.7,29,21.4,31859.26
3/11/2023,25,22.4,18.12,7.7,983.3,11,25.9,29.5,21.5,28206.08
3/12/2023,24.6,22.4,18.48,11.1,983.1,7,26,28.1,22,35355.7
3/13/2023,24.9,22.4,20.91,7.2,981.8,5,26.3,29.3,21.4,38442.48
3/14/2023,23.4,21.7,13.6,9,982,13,25.4,25.9,21.2,25797.38
3/15/2023,24,22.1,15.88,10.2,982.6,8,25.2,27.2,21.5,31074.86
3/16/2023,25.3,21.5,24.45,13.6,983,6,26,30.1,21.9,40752.34
3/17/2023,24.9,22.4,19.17,16.3,983.2,9,26.1,29.7,21.8,28360.74
3/18/2023,25,22.5,19.38,7.7,982.2,9,26.1,29.9,22.4,30966.92
3/19/2023,25.2,22.3,21.1,10.2,981.6,8,26.2,29.7,22.5,35484.34
3/20/2023,25.2,22.6,17.09,8.9,981.6,10,25.9,29.8,22.4,28426.71
3/21/2023,25.8,22.2,21.48,11.2,981.4,11,26.3,30.4,22.5,30723.98
3/22/2023,25.7,22.7,20.11,8.6,981,7,26.7,30.1,22.5,37223.32
3/23/2023,26.1,22.9,21.53,8.9,980.8,3,27.3,30.5,22.5,37249.12
3/24/2023,25.8,22.9,20.51,5.4,981.8,8,27.5,29.6,22.5,38421.21
3/25/2023,25.5,23.2,16.72,8.9,982.1,11,26.7,29.8,22.6,25435.66
3/26/2023,25.4,22.9,17.32,9.1,981.4,17,26.1,29.2,22.5,23747.86
3/27/2023,25.6,22.6,16.68,13,981.4,9,26,29.1,23.5,25200
3/28/2023,25.4,22.7,18.1,10.4,982,5,26,29,22.2,26730.86
3/29/2023,24.4,22.4,13.09,11.9,982.3,14,25.4,28,22,12937.72
3/30/2023,25.1,21.7,16.52,15.1,981.4,13,25.2,27.9,22.2,27674.07
3/31/2023,25.2,22.3,10.51,10.5,981.8,6,25.5,27.9,22.6,12320.63
4/1/2023,25.1,21.3,13.4,12.7,981.9,7,25.7,27.9,22.5,26620.95
4/2/2023,25.3,21.4,20.41,7.6,980.9,8,26.1,29.5,21.8,37585.38
4/3/2023,24.7,21.6,19.95,12.6,981.3,7,25.8,29,20.9,36108.21
4/4/2023,25.2,21,20.86,11.3,981.8,6,26.4,29,21.5,40243.33
4/5/2023,26,19.3,24.09,12.3,981.6,0,27,30.5,21.4,39878.13
4/6/2023,25.4,18.7,24.11,16.2,982.3,0,27,30.2,19.8,39772.72
4/7/2023,26.2,20.1,22.62,12.1,982.8,3,27.3,30.6,22.6,40492.09
4/8/2023,25.3,20.5,22.23,7.6,983.5,2,27,30.1,20.5,40664.45
4/9/2023,25.5,21.2,22.36,13,983.5,7,27,30,21,38966.38
4/10/2023,25.6,21.9,16.14,12.8,982.8,9,26.4,29,23.2,29431.46
4/11/2023,26,22,18.17,15.3,982,6,26.6,29.6,23.4,28409.77
4/12/2023,26.2,22.2,19.67,16.7,981.4,5,27.1,30.1,22.4,36402.64
4/13/2023,26.4,21.8,18.74,17.6,981.6,7,27.2,30,22.9,35114.18
4/14/2023,26.3,22.3,18.51,15.3,981.8,11,27.2,30.3,23.8,32441.03
4/15/2023,25.8,22.2,18.17,15.1,981.5,8,26.7,30.3,22.1,31734.85
4/16/2023,26.2,22.5,18.05,13.7,981.3,7,26.9,29.7,24.2,33331.86
4/17/2023,26.4,23,20.89,15,982.6,7,27.5,30.5,22.1,39817.14
4/18/2023,26,22.9,17.17,7.1,983.2,8,27.3,30,23.2,26728.61
4/19/2023,25.9,22.9,17.13,10.5,981.2,10,26.9,29.8,23.3,28697.51
4/20/2023,25.4,22.9,17.51,11.3,979.8,9,26.5,30.2,23.3,27153.66
4/21/2023,25.6,23,17.87,8.5,980.5,10,26.6,30.2,22.6,26830.5
4/22/2023,25.9,22.7,20.64,10.5,980.4,3,27,29.6,22.2,39282.11
4/23/2023,25.7,23,18.9,9.4,981.4,3,26.8,30.2,22.8,38083.82
