Country Name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,population_density,urban_population_pct
Finland,7.804,10.792,0.969,71.15,0.961,-0.019,0.182,18.3705454665088,74.0062548602828
Denmark,7.586,10.962,0.954,71.25,0.934,0.134,0.196,148.6738,88.552638542867
Iceland,7.53,10.896,0.983,72.05,0.936,0.211,0.668,3.82488346722206,94.1518261784801
Israel,7.473,10.639,0.943,72.697,0.809,-0.023,0.708,455.129390018484,91.5089569794505
Netherlands,7.403,10.942,0.93,71.55,0.887,0.213,0.379,530.950905850906,95.3221682092129
Sweden,7.395,10.883,0.939,72.15,0.948,0.165,0.202,25.8713678886243,88.631216160938
Norway,7.315,11.088,0.943,71.5,0.947,0.141,0.283,15.1524995195871,83.0718560702166
Switzerland,7.24,11.164,0.92,72.9,0.891,0.027,0.266,224.978619136651,85.1854212679815
Luxembourg,7.228,11.66,0.879,71.675,0.915,0.024,0.345,258.862052624628,94.8015300320787
New Zealand,7.123,10.662,0.952,70.35,0.887,0.175,0.271,19.7485853176864,83.8898991461229
Austria,7.097,10.899,0.888,71.15,0.855,0.102,0.497,110.661185167232,69.2265358276021
Australia,7.095,10.821,0.934,71.05,0.89,0.198,0.496,3.46591948538875,87.4866955653765
Canada,6.961,10.773,0.929,71.4,0.874,0.153,0.42,4.56079784268436,82.5250564408346
Ireland,6.911,11.527,0.905,71.3,0.874,0.092,0.358,77.1017273914937,64.1152082461268
United States,6.894,11.048,0.919,65.85,0.8,0.137,0.689,36.8198061311277,80.071561119178
Germany,6.892,10.879,0.896,71.3,0.846,0.03,0.42,238.351810090719,81.9034366692129
Belgium,6.859,10.844,0.915,70.899,0.825,0.001,0.549,386.303731881682,87.551492636772
Czechia,6.845,10.611,0.953,69.05,0.903,0.04,0.859,140.785547662605,72.7352388396817
United Kingdom,6.796,10.704,0.882,70.3,0.852,0.253,0.454,283.106683751498,83.1601932891335
Lithuania,6.763,10.568,0.939,67.397,0.748,-0.145,0.805,45.87196485623,68.575454583199
France,6.661,10.701,0.909,72.3,0.819,-0.1,0.553,126.862020595603,78.7804323126547
Slovenia,6.65,10.588,0.951,71.052,0.913,0.014,0.771,105.31480791676,55.5378927789875
Costa Rica,6.609,9.952,0.872,70.0,0.895,-0.07,0.768,99.9906972189581,78.8819393641702
Romania,6.589,10.339,0.848,67.051,0.856,-0.172,0.929,82.8453668289291,52.1645747011867
Singapore,6.587,11.571,0.878,73.8,0.878,0.063,0.146,8241.8495821727,100.0
United Arab Emirates,6.571,11.145,0.826,66.243,0.942,0.096,0.584,147.616882568291,85.6680699002526
Taiwan Province of China,6.535,10.797,0.884,69.6,0.804,-0.129,0.681,84.32944265585914,65.5301448035523
Uruguay,6.494,10.037,0.913,67.5,0.895,-0.065,0.575,19.3582504856588,95.5439605712891
Slovakia,6.469,10.353,0.953,68.838,0.753,-0.016,0.898,84.32944265585914,65.5301448035523
Saudi Arabia,6.463,10.715,0.884,64.399,0.894,-0.081,0.691,15.6779493787476,84.2962388315415
Estonia,6.455,10.541,0.946,69.65,0.929,0.032,0.409,32.0684764802247,70.6770085523126
Spain,6.436,10.54,0.932,72.35,0.782,-0.066,0.711,96.7636173412149,80.128491001856
Italy,6.405,10.634,0.882,72.05,0.711,-0.074,0.842,199.459678073854,69.5381540123301
Kosovo,6.368,9.359,0.844,65.195,0.861,0.259,0.866,84.32944265585914,49.1105579101515
Chile,6.334,10.114,0.889,70.3,0.792,-0.011,0.823,26.4647249005172,88.8158617217972
Mexico,6.33,9.85,0.804,65.8,0.856,-0.094,0.768,66.7402757272564,79.4734935748046
Malta,6.3,10.661,0.923,71.6,0.886,0.119,0.729,1727.334375,95.6272277147965
Panama,6.265,10.305,0.896,68.95,0.855,-0.133,0.878,60.1072930709086,65.8601271176084
Poland,6.26,10.453,0.925,69.049,0.765,-0.031,0.736,119.787615502661,59.8859561370214
Nicaragua,6.259,8.618,0.853,65.65,0.877,0.021,0.625,56.702783779292,59.1250953674316
Latvia,6.213,10.37,0.937,66.4,0.818,-0.056,0.83,30.2701269484172,68.3586316343061
Bahrain,6.173,10.776,0.844,65.825,0.944,0.117,0.737,1971.32375,100.0
Guatemala,6.15,9.116,0.812,62.9,0.856,-0.057,0.837,169.138092571855,55.6082319565539
Kazakhstan,6.144,10.166,0.931,65.802,0.853,0.0,0.721,7.53050487091158,61.7560919499181
Serbia,6.144,9.854,0.873,67.088,0.845,0.204,0.816,78.7630277084077,62.1434649229738
Cyprus,6.13,10.611,0.826,72.802,0.724,-0.06,0.86,145.560173160173,66.6739477522639
Japan,6.129,10.616,0.894,74.349,0.799,-0.237,0.64,341.54455749932,92.0826903891473
Croatia,6.125,10.341,0.917,68.95,0.757,-0.093,0.925,68.9722301644031,57.2431560672198
Brazil,6.125,9.582,0.836,65.749,0.801,-0.009,0.738,25.2616884857157,87.6159710235763
El Salvador,6.122,9.089,0.755,65.597,0.918,-0.108,0.62,304.518532818533,74.6080675149903
Hungary,6.041,10.419,0.943,67.5,0.758,-0.059,0.839,105.108327854482,70.2923026891431
Argentina,6.024,9.959,0.891,67.2,0.823,-0.089,0.814,16.6399559321662,92.1945132257907
Honduras,6.023,8.635,0.766,64.063,0.843,0.097,0.843,95.1367503798373,58.3132392705102
Uzbekistan,6.014,8.948,0.875,65.301,0.938,0.23,0.638,80.9084466129581,50.9964841114568
Malaysia,6.012,10.169,0.799,65.662,0.877,0.16,0.758,106.913096941105,76.4434752105739
Portugal,5.968,10.429,0.878,71.25,0.902,-0.196,0.878,115.475189289738,61.2048652633664
South Korea,5.951,10.693,0.812,73.65,0.717,-0.046,0.701,84.32944265585914,65.5301448035523
Greece,5.931,10.288,0.835,71.15,0.568,-0.24,0.793,80.7397284716835,78.7746303842088
Mauritius,5.902,9.957,0.888,63.85,0.813,-0.028,0.775,625.261392088132,39.0039901092226
Thailand,5.843,9.751,0.874,68.45,0.85,0.289,0.91,140.348088629646,60.9341926574707
Mongolia,5.84,9.372,0.933,60.5,0.701,0.19,0.849,2.23365125312889,70.4464492797852
Kyrgyzstan,5.825,8.486,0.911,66.852,0.934,0.181,0.904,84.32944265585914,65.5301448035523
Moldova,5.819,9.499,0.857,65.299,0.84,-0.08,0.901,85.437584732506,43.0011825561523
China,5.818,9.738,0.836,68.689,0.882,-0.041,0.727,150.264001337848,65.5301448035523
Vietnam,5.763,9.287,0.821,65.502,0.939,-0.004,0.759,84.32944265585914,65.5301448035523
Paraguay,5.738,9.51,0.906,65.9,0.891,0.021,0.843,17.282671943072,69.3466081733694
Montenegro,5.722,9.813,0.89,67.1,0.805,0.063,0.844,46.3590334572491,65.4731667624849
Jamaica,5.703,9.165,0.867,66.6,0.822,-0.106,0.875,262.214773776547,58.4510149367429
Bolivia,5.684,8.985,0.811,63.599,0.868,-0.063,0.846,11.3026483891812,70.9151414044538
Russia,5.661,10.21,0.889,64.947,0.719,-0.03,0.801,84.32944265585914,65.5301448035523
Bosnia and Herzegovina,5.633,9.616,0.88,67.275,0.746,0.206,0.918,62.20845703125,51.5657239834305
Colombia,5.63,9.584,0.822,69.35,0.804,-0.104,0.834,47.1574150518251,78.275571579544
Dominican Republic,5.569,9.811,0.827,64.399,0.85,-0.099,0.657,235.098143035751,72.3577991823338
Ecuador,5.559,9.27,0.806,69.0,0.802,-0.108,0.833,72.3952448059269,63.1307729554263
Peru,5.526,9.402,0.798,69.85,0.794,-0.119,0.892,26.44188828125,84.7810255849745
Philippines,5.523,8.979,0.78,62.038,0.919,-0.06,0.732,385.321122178623,55.1242716168851
Bulgaria,5.466,10.087,0.918,66.5,0.801,-0.057,0.911,59.3827929255711,73.7322671584613
Nepal,5.36,8.256,0.748,61.847,0.808,0.146,0.783,207.147638646669,66.5432933453944
Armenia,5.342,9.615,0.79,67.789,0.796,-0.155,0.705,105.119108748259,65.6956882008852
Tajikistan,5.33,8.237,0.836,62.226,0.832,-0.06,0.522,74.8598530153469,26.1890127571429
Algeria,5.329,9.3,0.855,66.549,0.571,-0.117,0.717,19.3825602290762,74.732808364138
Hong Kong S.A.R. of China,5.308,10.966,0.817,77.28,0.687,-0.026,0.385,84.32944265585914,65.5301448035523
Albania,5.277,9.567,0.718,69.15,0.794,-0.007,0.878,88.1056569343066,58.2106086137857
Indonesia,5.277,9.385,0.804,63.048,0.88,0.531,0.876,148.57692229227,58.1179353397878
South Africa,5.275,9.478,0.907,56.989,0.73,-0.087,0.902,52.1085690262058,63.5823705163545
Congo (Brazzaville),5.267,8.095,0.605,56.85,0.73,-0.004,0.739,84.32944265585914,65.5301448035523
North Macedonia,5.254,9.703,0.805,66.5,0.769,0.131,0.902,72.474861221253,62.2518322545779
Venezuela,5.211,5.527,0.839,64.05,0.659,0.128,0.811,84.32944265585914,65.5301448035523
Laos,5.111,8.962,0.679,60.946,0.919,0.091,0.703,84.32944265585914,65.5301448035523
Georgia,5.109,9.646,0.716,64.95,0.786,-0.254,0.649,65.0037265124742,60.7523077799724
Guinea,5.072,7.88,0.649,54.185,0.659,0.125,0.787,58.6255412664822,37.6454083954705
Ukraine,5.071,9.314,0.878,64.55,0.795,0.24,0.907,65.1239834311357,69.4754455027606
Ivory Coast,5.053,8.576,0.572,55.953,0.733,0.003,0.746,84.32944265585914,65.5301448035523
Gabon,5.035,9.537,0.746,58.252,0.642,-0.187,0.786,9.64329956921644,91.6375962797313
Nigeria,4.981,8.496,0.74,54.891,0.718,0.073,0.911,250.20910328623,62.1746763155343
Cameroon,4.973,8.217,0.686,55.847,0.686,0.015,0.846,60.0213386642973,55.1286878511388
Mozambique,4.954,7.116,0.692,51.53,0.851,0.047,0.66,42.7721457819375,35.7149783148407
Iraq,4.941,9.098,0.718,63.415,0.646,-0.005,0.876,103.826155759795,69.868278503418
State of Palestine,4.908,8.716,0.859,,0.694,-0.132,0.836,84.32944265585914,65.5301448035523
Morocco,4.903,8.973,0.553,63.901,0.787,-0.231,0.811,84.5003473000224,62.673750838878
Iran,4.876,9.61,0.778,66.6,0.593,0.173,0.747,84.32944265585914,65.5301448035523
Senegal,4.855,8.155,0.629,59.999,0.772,0.011,0.846,93.8948371682335,54.6992276190794
Mauritania,4.724,8.591,0.644,60.475,0.622,-0.013,0.657,4.87284466867178,59.7142464747058
Burkina Faso,4.638,7.667,0.663,55.461,0.696,0.095,0.771,84.1585380116959,27.7872478365158
Namibia,4.631,9.121,0.787,56.851,0.669,-0.126,0.83,3.59909023551847,49.9545837830821
Turkiye,4.614,10.307,0.796,68.663,0.475,-0.077,0.795,110.866214934449,89.0218446796121
Ghana,4.605,8.596,0.641,58.763,0.777,0.139,0.881,148.49676310689,57.8074737774654
Pakistan,4.555,8.54,0.601,57.313,0.766,0.008,0.787,321.067474833956,38.8191861872791
Niger,4.501,7.091,0.59,56.55,0.788,0.032,0.734,20.6519831057077,17.7506873295237
Tunisia,4.497,9.244,0.73,67.0,0.576,-0.213,0.907,78.530065653965,70.0266686486584
Kenya,4.487,8.458,0.69,58.499,0.696,0.288,0.852,95.2681371231706,31.6330340816429
Sri Lanka,4.442,9.491,0.826,67.15,0.787,-0.03,0.808,356.239896540576,20.1455348442463
Uganda,4.432,7.716,0.794,58.913,0.701,0.114,0.857,242.65210951526,30.6059359395495
Chad,4.397,7.261,0.722,53.125,0.677,0.221,0.807,15.342331639136,26.3305395171046
Cambodia,4.393,8.385,0.747,61.9,0.958,0.073,0.857,98.7076818490823,40.6290788072508
Benin,4.374,8.103,0.437,56.095,0.743,-0.043,0.576,125.142195814118,51.7457922964593
Myanmar,4.372,8.404,0.787,61.388,0.727,0.491,0.658,82.9420656687147,30.3820718069466
Bangladesh,4.282,8.685,0.544,64.548,0.845,0.005,0.698,1319.17979689183,32.1578465036834
Gambia,4.279,7.648,0.584,57.9,0.596,0.364,0.883,84.32944265585914,65.5301448035523
Mali,4.198,7.655,0.593,55.403,0.713,-0.028,0.846,19.4798572353486,31.0031889023235
Egypt,4.17,9.367,0.726,63.503,0.732,-0.183,0.58,84.32944265585914,65.5301448035523
Togo,4.137,7.673,0.595,57.449,0.657,0.024,0.74,171.067052767053,43.2496853032436
Jordan,4.12,9.13,0.729,67.6,0.77,-0.15,0.687,128.828670856139,92.682236868336
Ethiopia,4.091,7.739,0.782,60.698,0.72,0.273,0.789,114.037952012,23.0586471557617
Liberia,4.042,7.277,0.596,56.7,0.735,0.154,0.83,57.0289763289037,54.997863482224
India,4.036,8.759,0.608,60.777,0.897,0.072,0.774,483.679010086809,35.0676918424186
Madagascar,4.019,7.29,0.65,58.05,0.522,0.075,0.742,53.6196837401169,31.9799438860946
Zambia,3.982,8.074,0.694,55.032,0.791,0.098,0.818,27.8776483407095,45.0285853521585
Tanzania,3.694,7.857,0.653,59.401,0.838,0.182,0.554,75.2061481146986,35.4748019434954
Comoros,3.545,8.075,0.471,59.425,0.47,-0.014,0.727,456.951638903815,33.1502180946901
Malawi,3.495,7.302,0.531,58.475,0.75,0.005,0.749,223.84898175647,16.9748746665356
Botswana,3.435,9.629,0.753,54.725,0.742,-0.215,0.83,4.37641204806522,67.0212655349864
Congo (Kinshasa),3.207,7.007,0.652,55.375,0.664,0.086,0.834,84.32944265585914,65.5301448035523
Zimbabwe,3.204,7.641,0.69,54.05,0.654,-0.046,0.766,42.24071862479,39.2919370795795
Sierra Leone,3.138,7.394,0.555,54.9,0.66,0.105,0.858,117.214075921308,44.809324991151
Lebanon,2.392,9.478,0.53,66.149,0.474,-0.141,0.891,564.368817204301,90.4524074197598
Afghanistan,1.859,7.324,0.341,54.712,0.382,-0.081,0.847,63.5585008355948,25.4730529631167
