Country Name,Ladder score,population_density,urban_population_pct,trade_percent_gdp,unemployment_rate,inflation_rate,mobile_subscriptions,co2_emissions,rule_of_law
Finland,7.804,18.37054547,74.00625486,85.56339061,7.149,4.3,127.473,31799000.0,0.991
Denmark,7.586,148.6738,88.55263854,129.6253374,5.094,3.4,126.919,28831184.0,0.998
Iceland,7.53,3.824883467,94.15182618,87.40494191,3.518,8.7,123.382,3508235.0,0.975
Israel,7.473,455.12939,91.50895698,57.99032071,3.371,4.2,153.337,55381996.0,0.912
Netherlands,7.403,530.9509059,95.32216821,165.0304295,3.535,4.1,117.352,117016380.0,0.979
Sweden,7.395,25.87136789,88.63121616,107.6197094,7.611,5.9,140.266,36708596.0,0.99
Norway,7.315,15.15249952,83.07185607,80.36384564,3.574,5.5,122.291,38869000.0,0.982
Switzerland,7.24,224.9786191,85.18542127,135.3200022,4.043,2.1,128.64,31977486.0,0.995
Luxembourg,7.228,258.8620526,94.80153003,402.5669682,5.184,2.9,144.475,6840733.0,0.979
New Zealand,7.123,19.74858532,83.88989915,50.40643168,3.734,5.7,126.855,31559814.0,0.99
Austria,7.097,110.6611852,69.22653583,115.1529148,5.264,7.7,121.746,56908956.0,0.933
Australia,7.095,3.465919485,87.48669557,49.04433932,3.668,5.6,112.513,384316060.0,0.991
Canada,6.961,4.560797843,82.52505644,66.63233134,5.415,3.9,94.1497,545478500.0,0.964
Ireland,6.911,77.10172739,64.11520825,239.6496276,4.243,5.2,110.798,33567940.0,0.983
United States,6.894,36.81980613,80.07156112,25.29032979,3.638,4.1,112.411,4918406700.0,0.973
Germany,6.892,238.3518101,81.90343667,81.96254838,3.071,6.0,124.663,593766000.0,0.992
Belgium,6.859,386.3037319,87.55149264,165.8469465,5.547,2.3,103.196,84703360.0,0.971
Czechia,6.845,140.7855477,72.73523884,131.8925983,2.579,5.9,126.005,83232250.0,0.908
United Kingdom,6.796,283.1066838,83.16019329,64.99238417,4.025,7.3,122.796,307826140.0,0.957
Lithuania,6.763,45.87196486,68.57545458,149.041909,6.841,8.7,137.204,12507402.0,0.943
France,6.661,126.8620206,78.78043231,70.62614506,7.335,5.7,116.688,270262660.0,0.963
Slovenia,6.65,105.3148079,55.53789278,160.1596693,3.652,7.4,129.228,12012164.0,0.906
Costa Rica,6.609,99.99069722,78.88193936,72.47199908,8.325,0.5,145.789,8472529.0,0.942
Romania,6.589,82.84536683,52.1645747,83.37533241,5.589,10.4,123.252,67866024.0,0.715
Singapore,6.587,8241.849582,100.0,325.6932241,3.444,4.8,173.2,51067616.0,0.966
United Arab Emirates,6.571,147.6168826,85.6680699,199.0449792,2.151,1.6,199.424,210425100.0,0.652
Taiwan Province of China,6.535,84.32944265500001,65.5301448,77.87575061999999,4.899,2.5,122.291,29798714.0,0.63
Uruguay,6.494,19.35825049,95.54396057,52.91098707,8.355,5.9,141.719,7626940.0,0.936
Slovakia,6.469,84.32944265500001,65.5301448,77.87575061999999,4.899,5.9,122.291,30766244.0,0.871
Saudi Arabia,6.463,15.67794938,84.29623883,54.16901183,4.008,2.3,157.775,677441900.0,0.385
Estonia,6.455,32.06847648,70.67700855,154.5926171,6.378,9.1,150.196,8744257.0,0.984
Spain,6.436,96.76361734,80.128491,71.79763661,12.179,3.4,127.715,215460750.0,0.964
Italy,6.405,199.4596781,69.53815401,65.10717788,7.627,5.9,131.872,312290660.0,0.883
Kosovo,6.368,84.32944265500001,49.11055791,109.9518516,4.899,4.9,122.291,8220213.0,0.723
Chile,6.334,26.4647249,88.81586172,60.72472369,9.013,7.6,135.871,77604216.0,0.953
Mexico,6.33,66.74027573,79.47349357,73.57886164,2.765,5.5,111.562,458253860.0,0.432
Malta,6.3,1727.334375,95.62722771,221.0618355,3.479,5.6,140.594,1768002.0,0.841
